a0530;Albert, Heinrich;4
d0245;Distler, August Hugo;4
h0749;Henze, Hans Werner;4
k1321;Kozeluch, Leopold Anton;4
f0825;Finke, Fidelio F.;4
l0025;Lachner, Ignaz;4
s2314;Schnabel, Artur;4
c0123;Chadwick, George W.;4
h1060;Högner, Friedrich Johannes Paul;4
k0431;Kistler, Cyrill;4
w1834;Wellesz, Egon Joseph;4
l0076;Lampe, Walther;4
k1363;Krapp, Edgar;4
m0072;Mainardi, Enrico;4
b1107;Busch, Fritz;4
b0244;Baumgartner, Paul;4
n0252;Nowotny, Rudolf;4
r1685;Reichwein, Leopold;4
e0149;Eichhorn, Kurt;4
r0457;Reuter, Franz Theo;4
g1272;Gatscher, Emanuel;4
m0500;Meyer-Olbersleben, Max;4
f0764;Furtwängler, Wilhelm;4
b1040;Büchtger, Fritz;4
w0376;Weismann, Julius;4
c0112;Celibidache, Sergiu;4
b0693;Bockholdt, Rudolf;4
c0322;Cannabich, Johann Christian Innozenz Bonaventura;4
r0596;Riezler, Walter;4
f0933;Förstel, Gertrude;4
w0535;Wetz, Richard;4
s4091;Spitta, Philipp (2);4
f0063;Fanderl, Wastl;4
k0166;Kaul, Oskar;4
s0684;Schmitt-Walter, Karl;4
k0489;Kliebert, Karl;4
e0067;Edenhofer, Alois;4
r0509;Richter, Hans;4
w0147;Walter, Bruno;4
b1041;Bücken, Ernst;4
p0989;Paumgartner, Bernhard;4
d0110;Deigendesch, Karl;4
t0617;Then-Bergh, Erik;4
z0083;Zehelein, Alfred;4
w0063;Wagner, Richard;4
s1647;Stäblein, Bruno;4
w0145;Walter, Benno;4
f0128;Fellerer, Karl Gustav;4
n0141;Ney, Elly;4
m0559;Mendelssohn Bartholdy, Felix;4
a0267;Andreae, Volkmar;4
h1448;Huber, Kurt;3
w0966;Wolf-Ferrari, Ermanno;3
m0879;Moser, Hans Joachim;3
m0944;Mühlhölzel, Fritz;3
o0200;Overhoff, Kurt;3
e0536;Eitz, Carl Andreas;3
p0460;Pistocchi, Francesco Antonio Mamiliano;3
s0935;Schrems, Joseph;3
i0058;Istel, Edgar;3
g0234;Georgii, Walter;3
s2082;Stuntz, Joseph Hartmann;3
p0080;Parsons, Geoffrey;3
s0033;Sagerer, Hermann;3
g0103;Gassmann, Florian Leopold;3
g0144;Gebhard, Max;3
w0070;Wagner, Siegfried;3
s0487;Schletterer, Hans M.;3
w0802;Wismeyer, Heinrich;3
l0663;Loeffel, Felix;3
m1155;Moralt, Joseph;3
s0600;Schmitt, Friedrich;3
z0139;Zenger, Max;3
e0359;Ett, Caspar;3
t0318;Trunk, Richard;3
s0700;Schmitz, Eugen;3
w0506;Werner, Joseph;3
b1300;Boulez, Pierre;3
h0019;Haas, Robert;3
s0292;Schenk, Erich;3
h0431;Hasse, Karl;3
m0581;Menter, Sophie;3
s0412;Schillings, Max von;3
j0103;Jochum, Otto;3
s0594;Schmid, Ernst Fritz;3
u0059;Urban, Heinrich;3
s0936;Schrems, Theobald;3
r0631;Ritter, Hermann;3
k0348;Kiem, Pauli;3
s0699;Schmitz, Arnold;3
j0104;Jöde, Fritz;3
g0625;Greiner, Albert;3
s0019;Sachs, Melchior Ernst;3
w0271;Weber, Wilhelm;3
e0274;Eppelsheim, Jürgen;3
h0505;Haydn, Joseph;3
s0745;Schneider, Michael;3
e0246;Engelmann, Hans Ulrich;3
v0312;Vilmar, Wilhelm;3
t0414;Thauer, Hans;3
